Technischer Schlüssel;Link-ID;Detailnetz-Nr.;VP_von;VP_bis;Von-Station;Bis-Station;Verkehrsrichtung;Verkehrsebene;Straßentyp;StEP-Klasse;OKSTRA-Klasse;RBS-Klasse;Straßenname;Bezirk;Ortsteil;DTVw-2019-Kfz;DTVw-2019-Lkw
2;51480029_51480028;51480029_51480028.01;51480029,00;51480028,00;0,00;107,00;B;0,00;S;V;G;STRA;Chris-Gueffroy-Allee;Treptow-Köpenick;Baumschulenweg;5100,00;280,00
3;T0145160_T0039830;58480023_58480026.01;58480023,00;58480026,00;40,00;86,00;B;0,00;S;III;G;STRA;Gehsener Straße;Treptow-Köpenick;Köpenick;5500,00;180,00
4;T0021180_44600008;43600023_44600008.01;43600023,00;44600008,00;131,00;213,00;B;0,00;S;IV;G;STRA;Emmentaler Straße;Reinickendorf;Reinickendorf;11900,00;740,00
5;57520013_57520025;57520013_57520025.01;57520013,00;57520025,00;0,00;113,00;B;0,00;S;II;G;STRA;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;25700,00;460,00
6;33540007_34540001;33540007_34540001.02;33540007,00;34540001,00;0,00;201,00;B;0,00;S;I;B;STRA;Heerstraße;Charlottenburg-Wilmersdorf;Westend;49100,00;2350,00
7;61460012_61460020;61460012_61460020.01;61460012,00;61460020,00;0,00;116,00;B;0,00;S;III;G;STRA;Müggelseedamm;Treptow-Köpenick;Friedrichshagen;10700,00;230,00
8;40670015_40670038;40670015_40670038.01;40670015,00;40670038,00;0,00;50,00;B;0,00;S;V;B;STRA;Oranienburger Chaussee;-;-;19500,00;650,00
9;53470052_53480007;53470052_53480007.02;53470052,00;53480007,00;0,00;120,00;R;0,00;S;II;G;STRA;Spreestraße;Treptow-Köpenick;Niederschöneweide;9600,00;430,00
10;49520002_50520019;49520002_50520019.02;49520002,00;50520019,00;0,00;102,00;B;0,00;S;I;B;STRA;Stralauer Allee;Friedrichshain-Kreuzberg;Friedrichshain;33600,00;1330,00
11;T0043790_52520035;52520040_52520035.01;52520040,00;52520035,00;71,00;121,00;B;0,00;S;III;G;STRA;Lückstraße;Lichtenberg;Rummelsburg;14900,00;720,00
12;57510019_57510031;57510019_57510031.02;57510019,00;57510031,00;0,00;59,00;B;0,00;S;IV;G;STRA;Heesestraße;Marzahn-Hellersdorf;Biesdorf;5400,00;120,00
13;57510034_57510014;57510034_57510014.01;57510034,00;57510014,00;0,00;29,00;B;0,00;S;II;G;STRA;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;18800,00;440,00
14;32570012_T0137280;32570012_32560010.02;32570012,00;32560010,00;0,00;146,00;B;0,00;S;II;G;STRA;Brunsbütteler Damm;Spandau;Spandau;26600,00;1100,00
15;37560003_T0114370;37560003_38550023.01;37560003,00;38550023,00;0,00;347,00;B;0,00;S;III;G;STRA;Fürstenbrunner Weg;Charlottenburg-Wilmersdorf;Westend;24200,00;860,00
16;59420001_59410006;59420001_59410006.01;59420001,00;59410006,00;0,00;275,00;B;0,00;S;II;G;STRA;Adlergestell;Treptow-Köpenick;Grünau;13600,00;350,00
17;51480008_T0027530;51480008_51480022.02;51480008,00;51480022,00;0,00;89,00;B;0,00;S;V;G;STRA;Chris-Gueffroy-Allee;Neukölln;Neukölln;5100,00;280,00
18;T0019580_49500042;49500018_49500042.01;49500018,00;49500042,00;57,00;92,00;B;0,00;S;II;G;STRA;Wildenbruchstraße;Neukölln;Neukölln;12600,00;220,00
19;43650001_43650016;43650001_43650016.01;43650001,00;43650016,00;0,00;115,00;B;0,00;S;IV;G;STRA;Quickborner Straße;Reinickendorf;Lübars;5700,00;140,00
20;33540001_33540010;33540001_33540010.01;33540001,00;33540010,00;0,00;410,00;B;0,00;S;I;B;STRA;Heerstraße;Spandau;Wilhelmstadt;48600,00;2120,00
21;51420015_51420016;51420015_51420016.01;51420015,00;51420016,00;0,00;106,00;B;0,00;S;III;G;STRA;Groß-Ziethener Chaussee;Neukölln;Rudow;10000,00;230,00
22;T0083490_59580001;58580025_59580001.01;58580025,00;59580001,00;199,00;289,00;B;0,00;S;II;G;STRA;Landsberger Allee;Marzahn-Hellersdorf;Marzahn;39700,00;1150,00
23;57460024_T0008130;57460024_57460017.02;57460024,00;57460017,00;0,00;67,00;B;0,00;S;II;G;STRA;Oberspreestraße;Treptow-Köpenick;Köpenick;20100,00;420,00
24;52590024_T0141790;52590024_53590013.02;52590024,00;53590013,00;0,00;132,00;B;0,00;S;III;G;STRA;Darßer Straße;Lichtenberg;Neu-Hohenschönhausen;19700,00;900,00
25;T0326550_T0326560;38560017_39560049.02;38560017,00;39560049,00;267,00;559,00;R;2,00;A;II;A;AUBA;A 100 BAB Stadtring;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;26500,00;2010,00
26;42480018_42480033;42480018_42480033.01;42480018,00;42480033,00;0,00;109,00;B;0,00;S;II;G;STRA;Thorwaldsenstraße;Steglitz-Zehlendorf;Steglitz;11400,00;170,00
27;60530006_T0001960;60530006_60530009.01;60530006,00;60530009,00;0,00;107,00;B;0,00;S;I;B;STRA;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;38300,00;2530,00
28;55430039_55430010;55430039_55430010.01;55430039,00;55430010,00;0,00;45,00;B;0,00;S;IV;G;STRA;Schönefelder Chaussee;Treptow-Köpenick;Altglienicke;6700,00;210,00
29;59500026_59500020;59500026_59500020.01;59500026,00;59500020,00;0,00;81,00;B;0,00;S;II;G;STRA;Hultschiner Damm;Marzahn-Hellersdorf;Mahlsdorf;12000,00;490,00
30;T0010660_52440032;52440040_52440032.01;52440040,00;52440032,00;52,00;76,00;B;0,00;S;II;G;STRA;Stubenrauchstraße;Neukölln;Rudow;18600,00;590,00
31;51420010_51420012;51420010_51420012.01;51420010,00;51420012,00;0,00;207,00;B;0,00;S;III;G;STRA;Groß-Ziethener Chaussee;Neukölln;Rudow;8400,00;180,00
32;T0040300_47590045;47590034_47590045.02;47590034,00;47590045,00;73,00;147,00;B;0,00;S;II;B;STRA;Mühlenstraße;Pankow;Pankow;17700,00;330,00
33;40530033_40530034;40530033_40530034.01;40530033,00;40530034,00;0,00;129,00;B;0,00;S;III;G;STRA;Leibnizstraße;Charlottenburg-Wilmersdorf;Charlottenburg;17500,00;340,00
34;52660030_52660031;52660030_52660031.01;52660030,00;52660031,00;0,00;102,00;B;0,00;S;II;G;STRA;Bucher Chaussee;Pankow;Karow;16200,00;300,00
35;T0095630_60540052;60530034_60540052.01;60530034,00;60540052,00;103,00;193,00;B;0,00;S;II;G;STRA;Hönower Straße;Marzahn-Hellersdorf;Mahlsdorf;18900,00;490,00
36;57410031_57410012;57410031_57410012.03;57410031,00;57410012,00;0,00;86,00;B;0,00;S;III;G;STRA;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;7100,00;190,00
37;32440033_T0039806;32440033_32440032.01;32440033,00;32440032,00;0,00;30,00;R;-2,00;A;I;A;AUBA;115 AK Zehlendorf Begleitfahrbahn >S;Steglitz-Zehlendorf;Nikolassee;6600,00;400,00
38;41620035_41620017;41620035_41620017.03;41620035,00;41620017,00;0,00;26,00;B;0,00;S;III;G;STRA;Triftstraße;Reinickendorf;Wittenau;9100,00;340,00
39;45440011_45440029;45440011_45440029.01;45440011,00;45440029,00;0,00;86,00;B;0,00;S;III;G;STRA;Daimlerstraße;Tempelhof-Schöneberg;Mariendorf;13900,00;580,00
40;37510017_37510021;37510017_37510021.01;37510017,00;37510021,00;0,00;75,00;B;0,00;S;III;G;STRA;Koenigsallee;Charlottenburg-Wilmersdorf;Grunewald;11000,00;180,00
41;45510008_45510028;45510008_45510028.02;45510008,00;45510028,00;0,00;139,00;B;0,00;S;II;B;STRA;Mehringdamm;Friedrichshain-Kreuzberg;Kreuzberg;42000,00;1350,00
42;40660023_40660029;40660023_40660029.01;40660023,00;40660029,00;0,00;153,00;B;0,00;S;II;G;STRA;Hermsdorfer Damm;Reinickendorf;Hermsdorf;16400,00;350,00
43;T0052000_43530001;42530009_43530001.01;42530009,00;43530001,00;136,00;293,00;G;0,00;S;V;G;STRA;Corneliusstraße;Mitte;Tiergarten;300,00;10,00
44;49540019_T0023270;49540019_49540020.01;49540019,00;49540020,00;0,00;114,00;B;0,00;S;III;G;STRA;Grünberger Straße;Friedrichshain-Kreuzberg;Friedrichshain;8200,00;170,00
45;39540024_39540033;39540024_39540033.01;39540024,00;39540033,00;0,00;217,00;B;0,00;S;II;G;STRA;Kaiser-Friedrich-Straße;Charlottenburg-Wilmersdorf;Charlottenburg;22600,00;310,00
46;57600072_57600027;57600072_57600027.01;57600072,00;57600027,00;0,00;43,00;B;0,00;S;II;G;STRA;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;12300,00;740,00
47;T0000150_36540011;36540010_36540011.01;36540010,00;36540011,00;29,00;120,00;B;0,00;S;I;B;STRA;Heerstraße;Charlottenburg-Wilmersdorf;Westend;58400,00;2800,00
48;T0037580_39670050;39670023_39670050.02;39670023,00;39670050,00;178,00;237,00;B;0,00;S;III;G;STRA;Frohnauer Straße;Reinickendorf;Frohnau;7900,00;350,00
49;55450042_55450048;55450042_55450048.01;55450042,00;55450048,00;0,00;124,00;B;0,00;S;IV;G;STRA;Dörpfeldstraße;Treptow-Köpenick;Adlershof;14500,00;290,00
50;48590026_48600041;48590026_48600041.01;48590026,00;48600041,00;0,00;81,00;B;0,00;S;I;B;STRA;Prenzlauer Promenade;Pankow;Pankow;30000,00;1470,00
51;48580022_49580004;48580022_49580004.02;48580022,00;49580004,00;0,00;233,00;R;0,00;S;II;G;STRA;Ostseestraße;Pankow;Prenzlauer Berg;15700,00;550,00
52;49570027_49560012;49570027_49560012.02;49570027,00;49560012,00;0,00;339,00;B;0,00;S;III;G;STRA;Storkower Straße;Pankow;Prenzlauer Berg;14700,00;400,00
53;41570020_41570019;41570020_41570019.01;41570020,00;41570019,00;0,00;38,00;B;0,00;S;II;G;STRA;Beusselstraße;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;49300,00;2270,00
54;36450053_36450013;36450053_36450013.01;36450053,00;36450013,00;0,00;32,00;B;0,00;S;I;B;STRA;Potsdamer Straße;Steglitz-Zehlendorf;Zehlendorf;37300,00;960,00
55;52490032_52480027;52490032_52480027.03;52490032,00;52480027,00;0,00;59,00;B;0,00;S;II;B;STRA;Köpenicker Landstraße;Treptow-Köpenick;Baumschulenweg;40400,00;1390,00
56;37570028_37570021;37570028_37570021.01;37570028,00;37570021,00;0,00;61,00;B;0,00;S;II;G;STRA;Siemensdamm;Spandau;Siemensstadt;33900,00;1670,00
57;42600009_T0101900;42600009_42600006.01;42600009,00;42600006,00;0,00;89,00;B;0,00;S;III;G;STRA;Teichstraße;Reinickendorf;Reinickendorf;9400,00;370,00
58;53450031_53450025;53450031_53450025.02;53450031,00;53450025,00;0,00;180,00;B;0,00;S;III;G;STRA;Eisenhutweg;Treptow-Köpenick;Johannisthal;8200,00;300,00
59;52540017_52540016;52540017_52540016.01;52540017,00;52540016,00;0,00;52,00;B;0,00;S;I;B;STRA;Frankfurter Allee;Lichtenberg;Lichtenberg;62200,00;1750,00
60;44490015_44490034;44490015_44490034.01;44490015,00;44490034,00;0,00;188,00;B;0,00;S;II;G;STRA;Schöneberger Straße;Tempelhof-Schöneberg;Tempelhof;25700,00;790,00
61;T0135990_45410004;45410003_45410004.01;45410003,00;45410004,00;91,00;132,00;B;0,00;S;II;G;STRA;Barnetstraße;Tempelhof-Schöneberg;Lichtenrade;14200,00;510,00
62;T0066890_35450031;34450029_35450031.01;34450029,00;35450031,00;298,00;423,00;B;0,00;S;I;B;STRA;Potsdamer Chaussee;Steglitz-Zehlendorf;Zehlendorf;30900,00;670,00
63;44460009_T0014550;44460009_44460016.01;44460009,00;44460016,00;0,00;74,00;B;0,00;S;II;G;STRA;Rathausstraße;Tempelhof-Schöneberg;Mariendorf;15600,00;750,00
64;50550040_T0000540;50550040_50560012.01;50550040,00;50560012,00;0,00;122,00;B;0,00;S;II;G;STRA;Landsberger Allee;Pankow;Prenzlauer Berg;53300,00;1840,00
65;43590037_43590038;43590037_43590038.01;43590037,00;43590038,00;0,00;61,00;B;0,00;S;IV;G;STRA;Holländerstraße;Reinickendorf;Reinickendorf;14800,00;460,00
66;49560004_49560015;49560004_49560015.01;49560004,00;49560015,00;0,00;107,00;B;0,00;S;II;B;STRA;Danziger Straße;Pankow;Prenzlauer Berg;27700,00;1470,00
67;42640014_42640015;42640014_42640015.01;42640014,00;42640015,00;0,00;80,00;B;0,00;S;V;G;STRA;Eichhorster Weg;Reinickendorf;Wittenau;7800,00;170,00
68;37580006_37570033;37580006_37570033.01;37580006,00;37570033,00;0,00;154,00;B;0,00;S;III;G;STRA;Rohrdamm;Spandau;Siemensstadt;5900,00;190,00
69;42590004_42590005;42590004_42590005.01;42590004,00;42590005,00;0,00;49,00;B;0,00;S;II;G;STRA;Afrikanische Straße;Mitte;Wedding;15900,00;400,00
70;T0005570_50550040;50560024_50550040.01;50560024,00;50550040,00;122,00;246,00;B;0,00;S;II;G;STRA;Storkower Straße;Pankow;Prenzlauer Berg;24700,00;690,00
71;47600009_47600008;47600009_47600008.01;47600009,00;47600008,00;0,00;171,00;B;0,00;S;II;G;STRA;Berliner Straße;Pankow;Pankow;11100,00;330,00
72;T0020020_32590049;32590040_32590049.01;32590040,00;32590049,00;67,00;120,00;B;0,00;S;III;G;STRA;Schönwalder Allee;Spandau;Hakenfelde;12100,00;100,00
73;49560006_49560007;49560006_49560007.01;49560006,00;49560007,00;0,00;48,00;B;0,00;S;II;G;STRA;Kniprodestraße;Pankow;Prenzlauer Berg;12400,00;370,00
74;T0075770_48540042;48540041_48540042.02;48540041,00;48540042,00;112,00;227,00;B;0,00;S;II;G;STRA;Lichtenberger Straße;Friedrichshain-Kreuzberg;Friedrichshain;23400,00;670,00
75;60520003_60520011;60520003_60520011.01;60520003,00;60520011,00;0,00;136,00;B;0,00;S;II;G;STRA;Hultschiner Damm;Marzahn-Hellersdorf;Mahlsdorf;14900,00;650,00
76;49560014_49560004;49560014_49560004.01;49560014,00;49560004,00;0,00;231,00;B;0,00;S;II;B;STRA;Danziger Straße;Pankow;Prenzlauer Berg;26600,00;1380,00
77;51480033_51480032;51480033_51480032.01;51480033,00;51480032,00;0,00;88,00;B;0,00;S;II;G;STRA;Baumschulenstraße;Treptow-Köpenick;Baumschulenweg;17300,00;670,00
78;T0076240_41480024;41480066_41480024.01;41480066,00;41480024,00;172,00;194,00;B;0,00;S;III;G;STRA;Schloßstraße;Steglitz-Zehlendorf;Steglitz;16000,00;300,00
79;39480006_39480035;39480006_39480035.01;39480006,00;39480035,00;0,00;50,00;B;0,00;S;II;G;STRA;Englerallee;Steglitz-Zehlendorf;Dahlem;23200,00;300,00
80;44470011_T0009500;44470011_44470012.01;44470011,00;44470012,00;0,00;80,00;B;0,00;S;II;G;STRA;Attilastraße;Tempelhof-Schöneberg;Tempelhof;15600,00;460,00
81;47580001_47580011;47580001_47580011.01;47580001,00;47580011,00;0,00;93,00;B;0,00;S;II;B;STRA;Schönhauser Allee;Pankow;Prenzlauer Berg;20100,00;530,00
82;33570015_33570060;33570015_33570060.01;33570015,00;33570060,00;0,00;176,00;R;0,00;S;II;G;STRA;Neuendorfer Straße;Spandau;Spandau;15400,00;320,00
102;63420003_63420009;63420003_63420009.01;63420003,00;63420009,00;0,00;73,00;B;0,00;S;II;G;STRA;Müggelheimer Damm;Treptow-Köpenick;Müggelheim;11100,00;370,00
83;47470005_47470002;47470005_47470002.01;47470005,00;47470002,00;0,00;299,00;R;0,00;A;II;A;AUBA;100 AS Gradestr Einfahrt v Gradestr;Tempelhof-Schöneberg;Tempelhof;14200,00;550,00
84;45510028_T0062050;45510028_45520013.01;45510028,00;45520013,00;0,00;92,00;B;0,00;S;II;B;STRA;Mehringdamm;Friedrichshain-Kreuzberg;Kreuzberg;42000,00;1350,00
85;43500024_43500021;43500024_43500021.01;43500024,00;43500021,00;0,00;194,00;B;0,00;S;II;G;STRA;Sachsendamm;Tempelhof-Schöneberg;Schöneberg;25000,00;570,00
86;T0018490_46410025;46410012_46410025.01;46410012,00;46410025,00;90,00;159,00;B;0,00;S;III;G;STRA;Groß-Ziethener Straße;Tempelhof-Schöneberg;Lichtenrade;12000,00;260,00
87;57560005_57560006;57560005_57560006.01;57560005,00;57560006,00;0,00;107,00;B;0,00;S;III;G;STRA;Allee der Kosmonauten;Marzahn-Hellersdorf;Marzahn;17800,00;330,00
88;43660005_T0027710;43660005_44650002.01;43660005,00;44650002,00;0,00;683,00;B;0,00;S;III;G;STRA;Blankenfelder Chaussee;Reinickendorf;Lübars;5200,00;70,00
89;T0090280_48470026;48470014_48470026.01;48470014,00;48470026,00;108,00;207,00;B;0,00;S;II;G;STRA;Tempelhofer Weg;Neukölln;Britz;23700,00;540,00
90;57500054_57500052;57500054_57500052.01;57500054,00;57500052,00;0,00;104,00;B;0,00;S;III;G;STRA;Lindenstraße;Marzahn-Hellersdorf;Kaulsdorf;5400,00;170,00
91;47550004_T0002880;47550004_47550024.01;47550004,00;47550024,00;0,00;85,00;B;0,00;S;II;G;STRA;Mollstraße;Mitte;Mitte;35700,00;1260,00
92;39530025_T0042890;39530025_40530020.01;39530025,00;40530020,00;0,00;108,00;B;0,00;S;III;G;STRA;Kantstraße;Charlottenburg-Wilmersdorf;Charlottenburg;22500,00;430,00
93;59550015_59550016;59550015_59550016.01;59550015,00;59550016,00;0,00;153,00;B;0,00;S;II;G;STRA;Hellersdorfer Straße;Marzahn-Hellersdorf;Hellersdorf;19700,00;330,00
94;46630031_46630034;46630031_46630034.01;46630031,00;46630034,00;0,00;109,00;B;0,00;S;IV;G;STRA;Schönhauser Straße;Pankow;Rosenthal;5400,00;240,00
95;49550045_49550046;49550045_49550046.02;49550045,00;49550046,00;0,00;119,00;B;0,00;S;II;B;STRA;Danziger Straße;Pankow;Prenzlauer Berg;23700,00;1180,00
96;33570006_33570008;33570006_33570008.01;33570006,00;33570008,00;0,00;54,00;R;0,00;S;II;G;STRA;Falkenseer Platz;Spandau;Spandau;15100,00;540,00
97;54610013_54610032;54610013_54610032.01;54610013,00;54610032,00;0,00;196,00;B;0,00;S;III;G;STRA;Dorfstraße;Lichtenberg;Wartenberg;6100,00;140,00
98;36580023_36590001;36580023_36590001.01;36580023,00;36590001,00;0,00;1081,00;B;0,00;S;II;G;STRA;Bernauer Straße;Reinickendorf;Tegel;16600,00;650,00
99;T0071230_T0014500;46560009_46560010.01;46560009,00;46560010,00;92,00;184,00;B;0,00;S;II;G;STRA;Brunnenstraße;Mitte;Mitte;15200,00;390,00
100;43540017_43540018;43540017_43540018.02;43540017,00;43540018,00;0,00;180,00;B;0,00;S;III;G;STRA;Tiergartenstraße;Mitte;Tiergarten;19500,00;440,00
101;41500061_41500079;41500061_41500079.01;41500061,00;41500079,00;0,00;139,00;B;0,00;S;III;G;STRA;Südwestkorso;Tempelhof-Schöneberg;Friedenau;8400,00;70,00
103;57570026_T0103440;57570026_57570027.02;57570026,00;57570027,00;0,00;98,00;B;0,00;S;III;G;STRA;Allee der Kosmonauten;Marzahn-Hellersdorf;Marzahn;10600,00;220,00
104;36510015_35490002;36510015_35490002.01;36510015,00;35490002,00;0,00;1951,00;R;0,00;A;I;A;AUBA;A 115 BAB Autobahnzubringer Magdebg/Leipz (Avus);Charlottenburg-Wilmersdorf;Grunewald;49200,00;3430,00
105;61470001_61480004;61470001_61480004.01;61470001,00;61480004,00;0,00;179,00;B;0,00;S;III;G;STRA;Dahlwitzer Landstraße;Treptow-Köpenick;Friedrichshagen;14100,00;390,00
106;49650013_T0020290;49650013_51670002.01;49650013,00;51670002,00;0,00;161,00;B;2,00;S;II;G;STRA;Bucher Straße;Pankow;Französisch Buchholz;9900,00;60,00
107;56470010_56470013;56470010_56470013.01;56470010,00;56470013,00;0,00;67,00;B;0,00;S;II;G;STRA;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;34200,00;1440,00
108;39560048_39560050;39560048_39560050.01;39560048,00;39560050,00;0,00;428,00;R;0,00;A;II;A;AUBA;A 100 BAB Stadtring;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;27900,00;2400,00
109;T0005911_32440028;32440017_32440028.02;32440017,00;32440028,00;166,00;306,00;R;0,00;S;II;A;AUTO;115 AK Zehlendorf Begl-Fb Süd Potsdamer Ch;Steglitz-Zehlendorf;Nikolassee;4200,00;100,00
110;41450030_42450037;41450030_42450037.02;41450030,00;42450037,00;0,00;152,00;B;0,00;S;II;G;STRA;Kaiser-Wilhelm-Straße;Steglitz-Zehlendorf;Lankwitz;21600,00;640,00
111;T0045320_38510024;38510023_38510024.01;38510023,00;38510024,00;67,00;117,00;B;0,00;S;III;G;STRA;Franzensbader Straße;Charlottenburg-Wilmersdorf;Grunewald;4300,00;80,00
112;T0047750_40580010;40580008_40580010.01;40580008,00;40580010,00;134,00;246,00;B;0,00;S;II;G;STRA;Saatwinkler Damm;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;30600,00;950,00
113;48440036_48440039;48440036_48440039.01;48440036,00;48440039,00;0,00;193,00;B;0,00;S;III;G;STRA;Rufacher Weg;Neukölln;Buckow;6300,00;20,00
114;52490018_52490019;52490018_52490019.02;52490018,00;52490019,00;0,00;68,00;B;0,00;S;IV;G;STRA;Kiefholzstraße;Treptow-Köpenick;Baumschulenweg;9000,00;390,00
115;51560011_T0017830;51560011_51560007.02;51560011,00;51560007,00;0,00;151,00;B;0,00;S;III;G;STRA;Hohenschönhauser Straße;Lichtenberg;Fennpfuhl;14200,00;370,00
116;39490048_39490067;39490048_39490067.01;39490048,00;39490067,00;0,00;398,00;B;0,00;S;III;G;STRA;Podbielskiallee;Steglitz-Zehlendorf;Dahlem;4800,00;30,00
117;T0039803_32440037;32440036_32440037.01;32440036,00;32440037,00;24,00;87,00;R;-2,00;A;I;A;AUBA;115 AK Zehlendorf Begleitfahrbahn >N;Steglitz-Zehlendorf;Nikolassee;6300,00;160,00
118;T0029920_44600007;44600015_44600007.01;44600015,00;44600007,00;42,00;101,00;B;0,00;S;IV;G;STRA;Emmentaler Straße;Reinickendorf;Reinickendorf;10900,00;290,00
119;T0026680_56490002;56490012_56490002.02;56490012,00;56490002,00;533,00;650,00;B;0,00;S;III;G;STRA;Rudolf-Rühl-Allee;Treptow-Köpenick;Köpenick;7600,00;100,00
120;38520036_38520037;38520036_38520037.01;38520036,00;38520037,00;0,00;128,00;R;0,00;A;I;A;AUBA;A 100 BAB Stadtring;Charlottenburg-Wilmersdorf;Grunewald;99000,00;5430,00
121;46520028_T0036410;46520028_46520039.01;46520028,00;46520039,00;0,00;39,00;B;0,00;S;II;G;STRA;Zossener Straße;Friedrichshain-Kreuzberg;Kreuzberg;28000,00;600,00
122;40540013_40550015;40540013_40550015.01;40540013,00;40550015,00;0,00;172,00;B;0,00;S;III;G;STRA;Cauerstraße;Charlottenburg-Wilmersdorf;Charlottenburg;11600,00;220,00
123;T0053800_43640004;43640010_43640004.02;43640010,00;43640004,00;1046,00;1137,00;B;0,00;S;V;G;STRA;Senftenberger Ring;Reinickendorf;Märkisches Viertel;4400,00;70,00
124;T0043170_44510009;44510008_44510009.01;44510008,00;44510009,00;98,00;190,00;B;0,00;S;III;G;STRA;Katzbachstraße;Friedrichshain-Kreuzberg;Kreuzberg;21100,00;870,00
125;49550012_49550014;49550012_49550014.01;49550012,00;49550014,00;0,00;117,00;B;0,00;S;III;G;STRA;Ebertystraße;Friedrichshain-Kreuzberg;Friedrichshain;6300,00;150,00
126;42540004_42540005;42540004_42540005.01;42540004,00;42540005,00;0,00;201,00;B;0,00;S;II;G;STRA;Bachstraße;Mitte;Hansaviertel;15300,00;300,00
127;T0104500_38500012;38500001_38500012.01;38500001,00;38500012,00;114,00;202,00;B;0,00;S;III;G;STRA;Berkaer Straße;Charlottenburg-Wilmersdorf;Schmargendorf;8900,00;120,00
128;44570038_44570005;44570038_44570005.01;44570038,00;44570005,00;0,00;31,00;B;0,00;S;II;B;STRA;Reinickendorfer Straße;Mitte;Wedding;31500,00;1000,00
129;T0004770_T0005320;41480073_41480055.01;41480073,00;41480055,00;38,00;106,00;B;0,00;S;II;G;STRA;Joachim-Tiburtius-Brücke;Steglitz-Zehlendorf;Steglitz;32100,00;420,00
130;30560033_30560021;30560033_30560021.01;30560033,00;30560021,00;0,00;180,00;B;0,00;S;II;G;STRA;Magistratsweg;Spandau;Staaken;11900,00;250,00
